uf,ano,populacao
Acre,2011,746386
Acre,2012,758786
Acre,2013,776463
Acre,2014,790101
Acre,2015,803513
Acre,2016,816687
Acre,2017,829619
Acre,2018,869265
Acre,2019,881935
Acre,2020,894470
Acre,2021,906876
Alagoas,2011,3143384
Alagoas,2012,3165472
Alagoas,2013,3300935
Alagoas,2014,3321730
Alagoas,2015,3340932
Alagoas,2016,3358963
Alagoas,2017,3375823
Alagoas,2018,3322820
Alagoas,2019,3337357
Alagoas,2020,3351543
Alagoas,2021,3365351
Amapá,2011,684309
Amapá,2012,698602
Amapá,2013,734996
Amapá,2014,750912
Amapá,2015,766679
Amapá,2016,782295
Amapá,2017,797722
Amapá,2018,829494
Amapá,2019,845731
Amapá,2020,861773
Amapá,2021,877613
Amazonas,2011,3538387
Amazonas,2012,3590985
Amazonas,2013,3807921
Amazonas,2014,3873743
Amazonas,2015,3938336
Amazonas,2016,4001667
Amazonas,2017,4063614
Amazonas,2018,4080611
Amazonas,2019,4144597
Amazonas,2020,4207714
Amazonas,2021,4269995
Bahia,2011,14097534
Bahia,2012,14175341
Bahia,2013,15044137
Bahia,2014,15126371
Bahia,2015,15203334
Bahia,2016,15276566
Bahia,2017,15344447
Bahia,2018,14812617
Bahia,2019,14873064
Bahia,2020,14930634
Bahia,2021,14985284
Ceará,2011,8530155
Ceará,2012,8606005
Ceará,2013,8778576
Ceará,2014,8842791
Ceará,2015,8904459
Ceará,2016,8963663
Ceará,2017,9020460
Ceará,2018,9075649
Ceará,2019,9132078
Ceará,2020,9187103
Ceará,2021,9240580
Distrito Federal,2011,2609998
Distrito Federal,2012,2648532
Distrito Federal,2013,2789761
Distrito Federal,2014,2852372
Distrito Federal,2015,2914830
Distrito Federal,2016,2977216
Distrito Federal,2017,3039444
Distrito Federal,2018,2974703
Distrito Federal,2019,3015268
Distrito Federal,2020,3055149
Distrito Federal,2021,3094325
Espírito Santo,2011,3547055
Espírito Santo,2012,3578067
Espírito Santo,2013,3839366
Espírito Santo,2014,3885049
Espírito Santo,2015,3929911
Espírito Santo,2016,3973697
Espírito Santo,2017,4016356
Espírito Santo,2018,3972388
Espírito Santo,2019,4018650
Espírito Santo,2020,4064052
Espírito Santo,2021,4108508
Goiás,2011,6080716
Goiás,2012,6154996
Goiás,2013,6434048
Goiás,2014,6523222
Goiás,2015,6610681
Goiás,2016,6695855
Goiás,2017,6778772
Goiás,2018,6921161
Goiás,2019,7018354
Goiás,2020,7113540
Goiás,2021,7206589
Maranhão,2011,6645761
Maranhão,2012,6714314
Maranhão,2013,6794301
Maranhão,2014,6850884
Maranhão,2015,6904241
Maranhão,2016,6954036
Maranhão,2017,7000229
Maranhão,2018,7035055
Maranhão,2019,7075181
Maranhão,2020,7114598
Maranhão,2021,7153262
Mato Grosso,2011,3075936
Mato Grosso,2012,3115336
Mato Grosso,2013,3182113
Mato Grosso,2014,3224357
Mato Grosso,2015,3265486
Mato Grosso,2016,3305531
Mato Grosso,2017,3344544
Mato Grosso,2018,3441998
Mato Grosso,2019,3484466
Mato Grosso,2020,3526220
Mato Grosso,2021,3567234
Mato Grosso do Sul,2011,2477542
Mato Grosso do Sul,2012,2500365
Mato Grosso do Sul,2013,2587269
Mato Grosso do Sul,2014,2619657
Mato Grosso do Sul,2015,2651235
Mato Grosso do Sul,2016,2682386
Mato Grosso do Sul,2017,2713147
Mato Grosso do Sul,2018,2748023
Mato Grosso do Sul,2019,2778986
Mato Grosso do Sul,2020,2809394
Mato Grosso do Sul,2021,2839188
Minas Gerais,2011,19728701
Minas Gerais,2012,19855332
Minas Gerais,2013,20593356
Minas Gerais,2014,20734097
Minas Gerais,2015,20869101
Minas Gerais,2016,20997560
Minas Gerais,2017,21119536
Minas Gerais,2018,21040662
Minas Gerais,2019,21168791
